Município/Estado,Arroz (2021),Arroz (2022),Arroz (2023),Soja (2021),Soja (2022),Soja (2023),Trigo (2021),Trigo (2022),Trigo (2023)
Santa Maria do Oeste,5,5,5,16.000,18.500,21.500,3.800,4.600,4.900
Santa Mariana,24,24,27,30.140,30.960,30.960,2.650,2.650,1.460
Santa Mônica,2.250,2.250,2.250,3.241,4.160,3.800,-,-,-
Santa Tereza do Oeste,22,22,22,18.850,18.850,18.850,3.750,3.750,3.750
Santa Terezinha de Itaipu,5,5,-,16.530,13.800,16.070,680,350,400
Santana do Itararé,25,25,25,9.800,9.750,10.800,3.800,3.800,3.800
Santo Antônio da Platina,30,30,30,16.600,16.200,16.200,7.200,7.200,7.200
Santo Antônio do Caiuá,-,-,-,151,454,44,-,-,-
Santo Antônio do Paraíso,-,-,2,7.160,7.670,7.670,5.980,5.980,3.940
Santo Antônio do Sudoeste,1,1,1,12.800,13.100,13.550,5.300,6.000,6.000
Santo Inácio,-,-,-,3.887,3.918,4.150,-,-,-
São Carlos do Ivaí,-,-,-,5.500,5.500,5.500,-,-,150
São Jerônimo da Serra,18,16,15,24.350,21.700,21.700,12.910,12.910,13.540
São João,-,-,-,22.500,22.850,23.350,9.000,13.000,15.000
São João do Caiuá,-,-,-,-,60,36,-,-,-
São João do Ivaí,1,2,2,19.500,19.700,19.700,1.500,2.500,4.820
São João do Triunfo,3,3,1,6.200,6.800,11.600,300,700,600
São Jorge d'Oeste,1,1,1,10.050,10.550,10.550,6.000,6.000,6.850
São Jorge do Ivaí,-,-,-,26.530,26.500,26.630,36,-,145
São Jorge do Patrocínio,-,-,-,250,1.026,1.000,-,-,-
São José da Boa Vista,40,40,40,16.500,15.800,17.300,3.500,3.500,6.500
São José das Palmeiras,-,-,-,2.340,2.830,2.830,300,150,100
São José dos Pinhais,-,-,-,1.900,1.950,2.050,340,350,300
São Manoel do Paraná,-,-,-,1.350,1.350,1.350,-,-,-
São Mateus do Sul,20,20,35,35.000,38.000,40.000,2.200,2.700,2.500
São Miguel do Iguaçu,24,24,-,47.050,46.350,47.220,960,1.000,120
São Pedro do Iguaçu,10,10,10,14.200,14.100,14.350,8.000,4.000,7.000
São Pedro do Ivaí,5,10,18,12.500,11.500,17.400,3.000,3.000,4.000
São Pedro do Paraná,-,-,-,558,558,610,-,-,-
São Sebastião da Amoreira,-,-,1,13.450,15.180,15.180,7.130,7.130,10.750
São Tomé,-,-,-,2.300,2.300,2.300,-,-,-
Sapopema,20,18,20,3.000,3.100,3.000,4.300,4.000,3.200
Sarandi,-,-,-,6.250,6.250,6.000,1.900,1.600,1.200
Saudade do Iguaçu,2,2,2,3.000,3.000,2.900,250,250,500
Sengés,3,3,3,14.050,15.550,15.700,2.000,3.500,3.200
Serranópolis do Iguaçu,-,-,-,13.105,11.920,11.920,190,100,40
Sertaneja,-,-,-,32.100,31.908,31.980,850,850,1.930
Sertanópolis,-,-,-,29.700,30.000,30.000,1.700,2.600,1.400
Siqueira Campos,100,100,60,5.300,5.300,6.200,1.500,1.500,1.500
Sulina,2,2,2,5.350,5.350,5.400,1.400,1.400,1.200
Tamarana,34,32,32,18.700,16.100,16.100,2.950,2.970,7.200
Tamboara,-,-,-,300,360,604,-,-,-
Tapejara,-,-,-,-,-,-,-,-,-
Tapira,-,-,-,1.420,2.140,2.140,-,-,-
Teixeira Soares,65,60,5,40.000,35.000,41.500,4.000,5.000,5.000
Telêmaco Borba,-,-,-,500,500,400,180,200,200
Terra Boa,-,-,-,12.000,12.000,12.000,600,600,600
Terra Rica,280,280,24,502,747,700,-,-,-
Terra Roxa,-,-,-,55.000,50.000,55.600,1.000,700,300
Tibagi,4,3,3,99.700,100.700,100.000,34.500,35.500,34.000
Tijucas do Sul,2,2,2,4.530,4.620,4.400,150,200,160
Toledo,-,-,-,70.400,69.900,70.300,7.000,3.000,2.000
Tomazina,45,50,50,12.100,12.100,12.100,400,3.600,5.100
Três Barras do Paraná,-,-,-,13.350,13.350,13.350,3.200,3.200,3.200
